"grdc_no","river","station","country","lat","long","area"
6140700,"DIVOKA ORLICE","NEKOR","CZ",50.07,16.55,182
6142100,"MORAVA","MORAVICANY","CZ",49.75,16.9667,1559
6142110,"THAYA","BRECLAV-LADNA","CZ",48.8,16.86,12283
6142120,"MORAVA","STRAZNICE","CZ",48.93,17.3167,9146
6142150,"MORAVA","MORAVSKY JAN","SK",48.6027,16.9386,24129
6142170,"OSLAVA","NESMER","CZ",49.32,16.03,479
6142200,"DANUBE RIVER","BRATISLAVA","SK",48.1402,17.1096,131331
6142300,"BECVA","TEPLICE","CZ",49.53,17.75,1275
6142500,"NITRA","BANOV (BANOVSKA KESA)","SK",48.05,18.2,3103
6142520,"NITRA","NITRIANSKA STREDA","SK",48.5244,18.1741,2094
6142551,"KYSUCA","KYSUCKE NOVE MESTO","SK",49.2978,18.786,955
6142600,"IPEL","IPELSKY SOKOLEC","SK",48.04,18.82,4838
6142601,"IPEL","HOLISA","SK",48.2986,19.7426,686
6142620,"VAH","SALA","SK",48.1617,17.8834,11218
6142640,"TURIEC","MARTIN","SK",49.0694,18.9125,827
6142650,"HRON","BANSKA BYSTRICA","SK",48.73,19.13,1766
6142660,"HRON","BREHY","SK",48.4072,18.6478,3821
6142680,"VAH","LIPTOVSKY MIKULAS","SK",49.0873,19.606,1107
6144100,"SAJO","LENARTOVCE","SK",48.3055,20.314,1830
6144150,"BODVAJ","TURNA NAD BODVOU","SK",48.593,20.8943,663
6144200,"BODROG","STREDA NAD BODROGOM","SK",48.3961,21.7502,11474
6144300,"HORNAD","ZDANA","SK",48.6046,21.3463,4232
6144350,"TORYSA","KOSICKE OLSANY","SK",48.7326,21.3377,1298
6144400,"TOPLA","HANUSOVCE","SK",49.0333,21.5,1050
6144490,"UDAVA","UDAVSKE","SK",48.9833,21.9667,211
6150400,"RIZZANESE","ZOZA","FR",41.7249,9.0755,130
6150500,"FIUM-ALTO","TAGLIO-ISOLACCIO (ACITAJA)","FR",42.4445,9.4699,114
6151100,"TORRENT LA ROYA / FIUME ROIA","BREIL SUR ROYA","FR",43.937,7.5156,461
6151101,"TORRENT LA ROYA / FIUME ROIA","TENDE (ST-DALMAS-DE-TENDE)","FR",44.0509,7.5889,114
6157100,"ODER RIVER","BOHUMIN","CZ",49.92,18.33,4665
6158100,"POPRAD","CHMELNICA","SK",49.289,20.7316,1262
6218100,"POPERINGEVAART","OOSTVLETEREN","BE",50.9134,2.7407,83
6220110,"MOLENBEEK","ETIKOVE","BE",50.826,3.6114,51
6220161,"DENDRE","ATH (DENDRE ORIENTALE)","BE",50.6335,3.7778,229
6220162,"DENDRE","OVERBOERLARE","BE",50.762,3.8673,785
6220170,"BELLEBEEK","ESSENE","BE",50.8887,4.1163,92
6220201,"SCHELDE","TOURNAI","BE",50.6085,3.3908,4922
6220204,"BOVENSCHELDE","HELKIJN","BE",50.7287,3.3879,5227
6220300,"DEMER","AARSCHOT","BE",50.9877,4.8223,2146
6220301,"DEMER","ZICHEM","BE",51.0026,4.9915,1973
6220362,"SENNE","TUBIZE","BE",50.6902,4.1968,215
6220370,"VELP","RANSBERG","BE",50.8909,5.0211,96
6220500,"DYLE","SINT-JORIS-WEERT","BE",50.8029,4.6425,645
6220502,"DYLE","BIERGES","BE",50.7106,4.6063,310
6220510,"NEDERZWALM","NEDERZWALM","BE",50.8854,3.6861,115
6221100,"MEUSE","VISE","BE",50.7259,5.6903,20440
6221101,"MEUSE","AMAY","BE",50.5365,5.3178,16416
6221102,"MEUSE","CHOOZ","BE",50.0921,4.8065,10120
6221110,"MEHAIGNE","HUCCORGNE","BE",50.5675,5.1678,305
6221120,"SAMBRE","SOLRE","BE",50.3092,4.1412,1188
6221130,"EAU D'HEURE","JAMIOULX","BE",50.3585,4.4044,324
6221131,"EAU D'HEURE","WALCOUR","BE",50.2598,4.4366,187
6221140,"MOLIGNEE","WARNANT","BE",50.3043,4.8292,127
6221200,"VESORE","CHAUDFONTAINE","BE",50.5895,5.6537,677
6221500,"OURTHE","HAMOIR(TABREUX)","BE",50.438,5.5349,1607
6221501,"OURTHE","SAUHEID","BE",50.5965,5.591,2904
6221510,"LOMME","JEMELLE","BE",50.1559,5.2617,276
6221550,"LESSE","GENDRON","BE",50.2116,4.9631,1314
6221551,"LESSE","DAVERDISSE","BE",50.0405,5.1283,301
6221570,"VIERRE","STRAIMONT","BE",49.793,5.3815,182
6221600,"EAU NOIRE","COUVIN","BE",50.0409,4.4999,178
6221610,"HOUILLE","FELENNE","BE",50.0427,4.8443,114
6221640,"RULLES","TINTIGNY","BE",49.6937,5.513,220
6221660,"JEKER / GEER","KANNE","BE",50.8169,5.6704,463
6221670,"HERMETON","HASTIERES","BE",50.2011,4.7984,161
6221680,"AMBLEVE","MARTINRIVE","BE",50.4791,5.6368,1068
6229100,"ENNINGDALSAELVEN","VASSBOTTEN","SE",58.8773,11.539,624
6229130,"OEREKILSAELVEN","GUNNARSBRO","SE",58.6264,11.7066,614
6229500,"GOETA AELV","VARGOENS KRV","SE",58.3551,12.3749,46886
6229530,"OESAN","TOERNESTORP","SE",58.3609,13.9517,167
6233100,"VISKAN","ASBRO 3","SE",57.2398,12.31,2160
6233120,"SKIVARPSAN","TANEMOELLA","SE",55.4497,13.5945,102
6233140,"KLINGAVAELSAN","KLINGAVAELSAN","SE",55.64,13.539,192
6233150,"FYLLEAN","SIMLANGEN","SE",56.7157,13.1245,260
6233160,"KAEVLINGEAN","EGGELSTAD","SE",55.6455,13.8165,262
6233165,"VERKEAN","HALLAMOELLA","SE",55.7084,14.0109,79
6233190,"HOEJE A","TROLLEBERG","SE",55.7019,13.1452,237
6233200,"GROETSJOEN","GROETSJOEN","SE",61.8134,12.4433,565
6233201,"DALAELVEN","AELVKARLEBY KRV","SE",60.5636,17.4419,28920
6233205,"VAESTERDALAELVEN","ERSBO","SE",61.3095,13.0081,1104
